2020-02-16 21:23:27.183 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lewic.todoscore.service.UserServiceTest], using SpringBootContextLoader
2020-02-16 21:23:27.267 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.lewic.todoscore.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-02-16 21:23:27.269 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lewic.todoscore.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-02-16 21:23:27.886 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lewic.todoscore.TodoScoreApplication for test class com.lewic.todoscore.service.UserServiceTest
2020-02-16 21:23:28.686 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-02-16 21:23:28.768 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1e47833, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@16745d6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1508c5d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1704591, org.springframework.test.context.support.DirtiesContextTestExecutionListener@15189ac, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4d3ce5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1dc6915, org.springframework.test.context.event.EventPublishingTestExecutionListener@4deff2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@19614be, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4bbcbd, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@81f160, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1acaf3d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@986852]
2020-02-16 21:23:38.580 [main] INFO  c.l.t.service.UserServiceTest - Starting UserServiceTest on DESKTOP-OV0MBIP with PID 8812 (started by lewic in E:\lewic\code\git\todo-score)
2020-02-16 21:23:38.582 [main] DEBUG c.l.t.service.UserServiceTest - Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
2020-02-16 21:23:38.582 [main] INFO  c.l.t.service.UserServiceTest - The following profiles are active: dev
2020-02-16 21:23:48.002 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-02-16 21:23:48.853 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 650ms. Found 4 JPA repository interfaces.
2020-02-16 21:23:51.783 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'cycleTypeDao' and 'com.lewic.todoscore.dao.jpa.primary.CycleTypeDao' mapperInterface. Bean already defined with the same name!
2020-02-16 21:23:51.784 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'taskDao' and 'com.lewic.todoscore.dao.jpa.primary.TaskDao' mapperInterface. Bean already defined with the same name!
2020-02-16 21:23:51.784 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'taskRecordDao' and 'com.lewic.todoscore.dao.jpa.primary.TaskRecordDao' mapperInterface. Bean already defined with the same name!
2020-02-16 21:23:51.785 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'workdayDao' and 'com.lewic.todoscore.dao.jpa.primary.WorkdayDao' mapperInterface. Bean already defined with the same name!
